shot_id,start_frame,end_frame,start_time,end_time,duration_s,court_ratio,meandiff_mean,court_hue,centroid_count,max_advance_y,max_advance_y_norm,center_approach,center_approach_norm,x_ref,y_ref,x_center,d_ref_center,d_min_center,z_maxadv,z_center,center_factor,approach_score
103.0,13207.0,13465.0,528.28,538.6,10.32,0.620742,0.927925,35.0,103,90.0,0.25,53.5,0.08359375,374.5,241.0,320.0,54.5,1.0,0.52158356,-0.6261723,0.34837896,0.18170874
103.0,13207.0,13465.0,528.28,538.6,10.32,0.620742,0.927925,35.0,103,90.0,0.25,53.5,0.08359375,374.5,241.0,320.0,54.5,1.0,0.52158356,-0.6261723,0.34837896,0.18170874
78.0,9531.0,9895.0,381.24,395.8,14.56,0.694043,3.393427,25.0,163,95.0,0.2638888888888889,12.5,0.01953125,333.5,258.0,320.0,13.5,1.0,0.6732067,-1.3111526,0.21229404,0.14291777
78.0,9531.0,9895.0,381.24,395.8,14.56,0.694043,3.393427,25.0,163,95.0,0.2638888888888889,12.5,0.01953125,333.5,258.0,320.0,13.5,1.0,0.6732067,-1.3111526,0.21229404,0.14291777
178.0,20695.0,20997.0,827.8,839.88,12.08,0.693143,1.045959,27.0,122,85.0,0.2361111111111111,56.5,0.08828125,377.5,258.0,320.0,57.5,1.0,0.36996037,-0.5760518,0.35984161,0.13312714
178.0,20695.0,20997.0,827.8,839.88,12.08,0.693143,1.045959,27.0,122,85.0,0.2361111111111111,56.5,0.08828125,377.5,258.0,320.0,57.5,1.0,0.36996037,-0.5760518,0.35984161,0.13312714
101.0,12792.0,13148.0,511.68,525.92,14.24,0.609184,1.124679,37.0,161,90.0,0.25,17.5,0.02734375,338.5,252.0,320.0,18.5,1.0,0.52158356,-1.2276185,0.22659852,0.11819006
101.0,12792.0,13148.0,511.68,525.92,14.24,0.609184,1.124679,37.0,161,90.0,0.25,17.5,0.02734375,338.5,252.0,320.0,18.5,1.0,0.52158356,-1.2276185,0.22659852,0.11819006
153.0,18067.0,18259.0,722.68,730.36,7.68,0.687562,0.992655,28.0,78,84.0,0.23333333333333334,53.0,0.0828125,374.0,245.0,320.0,54.0,1.0,0.33963585,-0.6345257,0.34648508,0.117678754
153.0,18067.0,18259.0,722.68,730.36,7.68,0.687562,0.992655,28.0,78,84.0,0.23333333333333334,53.0,0.0828125,374.0,245.0,320.0,54.0,1.0,0.33963585,-0.6345257,0.34648508,0.117678754
